tconst,primaryTitle,titleType,startYear,runtimeMinutes,genres
tt0002625,Ana Kadova,movie,1913,92,\N
tt0002628,Der Andere,movie,1913,48,"Drama,Thriller"
tt0002637,Arizona,movie,1913,45,Western
tt0002642,The Heir to Skjoldborg,movie,1914,50,Drama
tt0002646,Atlantis,movie,1913,121,Drama
tt0002648,Old Brandis' Eyes,movie,1913,\N,"Drama,Fantasy"
tt0002649,Australia Calls,movie,1913,\N,\N
tt0002660,Barbarous Mexico,movie,1913,\N,Documentary
tt0002661,Barcelona bajo la nieve,movie,1913,\N,\N
tt0002665,The Bartered Bride,movie,1913,\N,\N
tt0002669,The Battle of Gettysburg,movie,1913,48,"Drama,War"
tt0002670,The Battle of Shiloh,movie,1913,\N,"Drama,War"
tt0002676,El bello Arturo,movie,1913,\N,Comedy
tt0002679,Bianco contro negro,movie,1913,\N,\N
tt0002685,Blodets röst,movie,1913,89,Drama
tt0002722,Buch i Trøjen,movie,1913,\N,\N
tt0002725,Buried Alive in a Coal Mine,movie,1913,\N,Drama
tt0002727,Bøffen og bananen,movie,1913,\N,\N
tt0002735,Le camée,movie,1913,\N,\N
tt0002739,Carmen,movie,1914,\N,\N
tt0002743,El Caín moderno,movie,1913,48,\N
tt0002746,Checkers,movie,1913,\N,"Comedy,Drama"
tt0002751,A Chopin Nocturne,movie,1913,\N,Drama
tt0002763,Corazón de presidiario,movie,1913,\N,\N
tt0002764,Corrida de feria de las fiestas del Pilar,movie,1913,\N,\N
tt0002765,Corrida de toros en Calatayud,movie,1913,\N,\N
tt0002767,The Count of Monte Cristo,movie,1913,69,"Drama,History"
tt0002771,El crimen del otro,movie,1913,\N,\N
tt0002772,The Criminal Path,movie,1914,\N,"Crime,Drama"
tt0002785,La dame de Monsoreau,movie,1913,\N,\N
tt0002790,De muerte a vida,movie,1913,\N,\N
tt0002798,Le dernier pardon,movie,1913,\N,Comedy
tt0002799,Desastre do Monoplano Gnome na Amadora,movie,1913,\N,Documentary
tt0002801,The Black Diamond,movie,1913,50,\N
tt0002820,East Lynne,movie,1913,69,Drama
tt0002822,What 80 Million Women Want,movie,1913,56,Drama
tt0002823,Die Eisbraut,movie,1913,\N,\N
tt0002832,Evangeline,movie,1914,50,Drama
tt0002833,Evinrude,movie,1913,\N,"Crime,Drama"
tt0002844,Fantômas: In the Shadow of the Guillotine,movie,1913,54,"Crime,Drama"
tt0002857,Uma Ferra em Salvaterra de Magos,movie,1913,\N,Documentary
tt0002858,Fiestas en Palafrugell,movie,1913,\N,\N
tt0002859,The Fight for Millions,movie,1913,\N,Drama
tt0002880,The Four Devils,movie,1913,\N,\N
tt0002883,Les frères ennemis,movie,1913,\N,\N
tt0002885,From Dusk to Dawn,movie,1913,90,Drama
tt0002886,La fuerza del destino,movie,1913,\N,\N
tt0002888,Fulano de Tal se enamora de Manón,movie,1916,\N,Comedy
tt0002898,"Germinal; or, The Toll of Labor",movie,1913,150,Drama
tt0002901,The Girl of the Sunny South,movie,1913,\N,Drama
tt0002916,Die große Sünderin,movie,1914,\N,\N
tt0002917,Brother Against Brother,movie,1913,51,Drama
tt0002922,Hamlet,movie,1913,64,Drama
tt0002928,Hasard,movie,1913,\N,\N
tt0002953,"Herrerín y Ballesteros, en Alagón",movie,1913,\N,\N
tt0002958,El hijo del mar,movie,1913,\N,\N
