tconst,primaryTitle,titleType,startYear,runtimeMinutes,genres
tt0001826,Par habitude,movie,1911,\N,Comedy
tt0001889,Skæbnebæltet,movie,1911,\N,\N
tt0001892,Den sorte drøm,movie,1911,53,Drama
tt0001895,Sport Hípico,movie,1911,\N,Documentary
tt0001911,Nell Gwynne,movie,1911,50,"Biography,Drama,History"
tt0001914,The Devil's Assistant,movie,1913,\N,Drama
tt0001920,Temblor de 1911 en México,movie,1911,\N,\N
tt0001964,The Traitress,movie,1911,48,Drama
tt0001965,Vicio y virtud,movie,1911,\N,\N
tt0001992,Zwei Frauen,movie,1911,\N,\N
tt0001993,L'électrocuté,movie,1911,\N,Sci-Fi
tt0001998,The Adventures of Lieutenant Petrosino,movie,1912,47,Drama
tt0002001,The Alaska-Siberian Expedition,movie,1912,\N,Documentary
tt0002019,Amor de bestia,movie,1912,\N,\N
tt0002022,Anfisa,movie,1912,45,Drama
tt0002026,Anny - Story of a Prostitute,movie,1912,68,"Drama,Romance"
tt0002031,As You Like It,movie,1912,\N,\N
tt0002039,Atop of the World in Motion,movie,1912,\N,Documentary
tt0002044,Le bagnard,movie,1912,\N,\N
tt0002046,La Barrera número 13,movie,1913,\N,\N
tt0002047,A Batalha,movie,1912,\N,Documentary
tt0002060,Bernáték kikocsiznak,movie,1912,\N,\N
tt0002088,Carlota Angela,movie,1912,\N,\N
tt0002089,Carmen,movie,1912,\N,\N
tt0002094,Charles IV,movie,1912,50,\N
tt0002101,Cleopatra,movie,1912,100,"Drama,History"
tt0002102,The Clod,movie,1912,\N,\N
tt0002109,The Colonel's Son,movie,1912,\N,\N
tt0002112,Concurso Hípico no Porto,movie,1912,\N,Documentary
tt0002115,La conspiration des drapeaux,movie,1912,\N,\N
tt0002119,The Crime and the Criminal,movie,1912,\N,\N
tt0002130,Dante's Inferno,movie,1911,71,"Adventure,Drama,Fantasy"
tt0002131,A Dança dos Apaches,movie,1912,\N,\N
tt0002140,Do Men Love Women?,movie,1912,\N,\N
tt0002152,Dødskysset,movie,1915,\N,Drama
tt0002153,The Great Circus Catastrophe,movie,1912,45,Drama
tt0002156,Eclipse de sol,movie,1912,\N,\N
tt0002157,Der Eid des Stephan Huller,movie,1912,\N,\N
tt0002161,Episódios da Terrível Explosão de Bombas no Porto,movie,1912,\N,Documentary
tt0002163,Eva,movie,1913,\N,Drama
tt0002165,Excursión a San Lorenzo de Munt,movie,1912,\N,\N
tt0002186,The Flying Circus,movie,1912,46,Drama
tt0002188,For Freedom of Cuba,movie,1912,\N,\N
tt0002199,From the Manger to the Cross,movie,1912,60,"Biography,Drama"
tt0002211,Den glade løjtnant,movie,1912,\N,Romance
tt0002220,Grannie,movie,1912,\N,\N
tt0002239,Her Own Money,movie,1914,\N,\N
tt0002242,Herod,movie,1912,\N,\N
tt0002262,Il y a des pieds au plafond,movie,1912,\N,\N
tt0002276,De industrieel van Pont Avesnes,movie,1912,\N,\N
tt0002286,Judith,movie,1912,\N,\N
tt0002301,Leiria,movie,1912,\N,Documentary
tt0002305,Life of Villa,movie,1912,\N,"Documentary,War"
tt0002315,El lobo de la sierra,movie,1912,76,\N
tt0002328,The Lust for Gold,movie,1912,\N,\N
tt0002333,The Might of Gold,movie,1912,\N,\N
tt0002335,Magda,movie,1912,\N,\N
tt0002337,The Mail Order Wife,movie,1912,\N,\N
tt0002345,Marocco en het Vreemdelingenlegioen,movie,1912,\N,\N
tt0002348,Maskierte Liebe,movie,1912,\N,\N
tt0002361,The Midnight Wedding,movie,1912,\N,Drama
tt0002362,The Mighty Dollar,movie,1912,\N,\N
tt0002375,La mort du duc d'Enghien,movie,1912,\N,\N
tt0002395,Le nègre blanc,movie,1912,\N,\N
tt0002405,Oliver Twist,movie,1912,\N,Drama
tt0002406,Oliver Twist,movie,1912,\N,Drama
tt0002410,Only a Woman,movie,1912,\N,\N
tt0002423,Passion,movie,1919,85,"Biography,Drama,Romance"
tt0002425,Paul J. Rainey's African Hunt,movie,1912,60,Documentary
tt0002431,La pierre philosophe,movie,1912,\N,\N
tt0002432,Los Pirineos de Port-Bou a Andorra,movie,1912,58,\N
tt0002438,The Prodigal Daughter,movie,1912,\N,\N
tt0002439,The Prodigal Son,movie,1913,\N,\N
tt0002444,Quincy Adams Sawyer,movie,1912,40,Comedy
tt0002445,Quo Vadis?,movie,1913,120,"Drama,History"
tt0002446,Race for a Life,movie,1912,\N,\N
tt0002452,The Independence of Romania,movie,1912,120,"History,War"
tt0002458,Orozquista Revolution,movie,1912,\N,\N
tt0002461,The Life and Death of King Richard III,movie,1912,55,Drama
tt0002467,"Romani, the Brigand",movie,1912,\N,\N
tt0002474,Saty delaji cloveka,movie,1913,\N,Comedy
tt0002479,Seal Hunting in Newfoundland,movie,1912,\N,Documentary
tt0002491,The Sin of a Woman,movie,1912,\N,\N
tt0002500,The Black Chancellor,movie,1912,48,Drama
tt0002514,Saved in Mid-Air,movie,1912,60,Drama
tt0002517,Talma,movie,1912,\N,\N
tt0002525,The Tide of Death,movie,1912,\N,\N
tt0002555,The Last Bohemian,movie,1913,\N,"Drama,Romance"
tt0002556,Vampyrdanserinden,movie,1912,\N,\N
tt0002559,Verkannt,movie,1912,\N,\N
tt0002572,Wenn die Maske fällt,movie,1912,\N,\N
tt0002574,What Happened to Mary,movie,1912,150,"Action,Drama,Thriller"
tt0002588,Zigomar contre Nick Carter,movie,1912,48,"Crime,Thriller"
tt0002589,Zona de Incursões em Chaves,movie,1912,\N,\N
tt0002590,Zu Tode gehetzt,movie,1912,\N,\N
tt0002591,Zu spät,movie,1913,\N,\N
tt0002594,'Neath Austral Skies,movie,1913,\N,\N
tt0002595,...denn alle Schuld rächt sich auf Erden,movie,1913,\N,\N
tt0002605,The Adventures of Kathlyn,movie,1913,300,Adventure
tt0002624,El amigo del alma,movie,1913,\N,\N
